id,Observation1,Observation2,Observation3,Observation4,Observation5,Observation6,Observation7,Observation8
Feature00001,2,4,18,24,7,4,93,77
Feature00002,4,1,3,1,5,4,9,4
Feature00003,0,1,4,2,0,5,2,6
Feature00004,0,0,0,0,0,0,0,0
Feature00005,19,10,19,13,50,57,45,58
Feature00006,7,5,1,0,31,26,12,9
Feature00007,0,0,2,1,0,0,0,0
Feature00008,4,1,12,18,21,19,127,98
Feature00009,7,5,2,1,30,32,75,42
Feature00010,86,53,86,78,257,254,434,454
Feature00011,22,21,58,49,85,89,262,247
Feature00012,276,224,209,280,903,978,1061,1056
Feature00013,298,282,327,297,1228,1258,1853,1928
Feature00014,30,34,57,63,129,105,274,226
Feature00015,0,0,0,0,0,0,0,0
Feature00016,89,53,66,52,191,240,265,194
Feature00017,0,0,0,0,0,0,0,0
Feature00018,26,25,60,88,88,33,260,214
Feature00019,30,22,26,28,132,96,143,149
Feature00020,227,212,229,258,748,716,1201,1136
Feature00021,185,158,265,354,524,577,1007,918
Feature00022,93,81,53,75,346,351,259,303
Feature00023,0,0,0,0,1,0,1,0
Feature00024,915,683,1140,1210,3030,3192,5614,5271
Feature00025,738,575,480,490,2398,2334,2398,2552
Feature00026,0,0,0,0,0,0,1,0
Feature00027,1,2,4,6,9,3,15,7
Feature00028,803,617,283,344,3170,3118,2368,2578
Feature00029,0,0,0,0,0,0,1,0
Feature00030,3398,2740,2078,1776,13572,13588,11954,13926
Feature00031,38,30,31,34,139,146,196,188
Feature00032,351,352,373,291,1070,1228,1856,1528
Feature00033,15,18,142,133,55,50,629,776
Feature00034,303,279,185,219,1073,1083,1018,1027
Feature00035,41,36,71,81,150,116,441,311
Feature00036,228,234,334,312,677,723,1478,1145
Feature00037,70,52,45,62,236,206,320,338
Feature00038,39,40,69,44,125,138,204,196
Feature00039,85,68,151,176,305,233,701,710
Feature00040,146,130,169,191,330,322,665,463
Feature00041,0,0,0,0,0,0,0,0
Feature00042,235,164,49,37,845,828,238,337
Feature00043,0,0,0,0,0,0,0,0
Feature00044,436,382,239,240,1283,1421,1153,1361
Feature00045,164,139,80,97,472,553,437,514
Feature00046,0,1,0,0,0,0,4,0
Feature00047,206,168,169,156,572,618,856,868
Feature00048,283,221,217,209,889,939,1070,1150
Feature00049,227,227,189,160,973,952,814,829
Feature00050,175,144,229,312,536,506,1093,987
Feature00051,2,1,0,0,2,3,0,2
Feature00052,89,81,80,69,314,358,401,451
Feature00053,183,163,213,243,675,625,953,907
Feature00054,63,49,61,52,202,212,216,212
Feature00055,382,351,109,110,1290,1245,585,583
Feature00056,0,0,1,0,1,1,2,2
Feature00057,56,59,54,45,75,121,180,117
Feature00058,48,49,69,83,214,227,338,345
Feature00059,23,15,26,25,70,60,156,145
Feature00060,272,220,280,324,899,1011,1478,1831
Feature00061,8,4,6,6,13,17,22,37
Feature00062,192,142,143,133,522,489,598,608
Feature00063,1974,1496,412,357,7875,8100,1989,2638
Feature00064,99,96,157,211,414,406,796,955
Feature00065,251,202,195,212,884,851,1212,1181
Feature00066,16,15,41,38,59,73,196,244
Feature00067,0,0,6,8,13,9,30,40
Feature00068,671,609,848,1116,2546,2266,3535,3511
Feature00069,82,66,60,46,239,248,214,229
Feature00070,0,0,0,0,0,0,0,0
Feature00071,710,589,528,602,2221,2345,2434,2594
Feature00072,67,53,95,89,162,172,380,331
Feature00073,23,28,62,66,110,86,299,204
Feature00074,150,154,153,161,468,477,588,598
Feature00075,10,8,8,20,47,43,119,88
Feature00076,711,624,733,742,1751,1965,3031,3031
Feature00077,180,151,131,111,506,518,538,508
Feature00078,190,189,156,176,475,502,587,477
Feature00079,1946,1655,1838,1980,5919,5429,7801,7213
Feature00080,1,1,1,3,4,2,3,5
Feature00081,5,2,0,11,21,16,38,37
Feature00082,63,102,118,121,891,215,514,634
Feature00083,149,124,323,262,561,491,925,897
Feature00084,29,24,34,41,105,96,205,151
Feature00085,265,269,449,478,752,661,1645,1255
Feature00086,81,75,108,136,276,322,546,431
Feature00087,84,43,65,48,208,203,314,303
Feature00088,79,54,102,108,253,236,463,486
Feature00089,6,10,6,9,21,25,50,57
Feature00090,174,132,199,234,713,650,1084,1094
Feature00091,105,86,83,90,412,395,516,462
Feature00092,5,12,51,56,73,37,411,344
Feature00093,431,386,669,794,1453,1407,2644,2429
Feature00094,824,688,1022,907,2773,2658,4792,4883
Feature00095,0,0,3,0,0,0,1,1
Feature00096,0,0,0,0,0,0,0,0
Feature00097,0,0,0,0,0,0,0,0
Feature00098,72,74,83,109,244,233,549,409
Feature00099,0,0,0,0,0,0,0,0
Feature00100,145,119,212,317,407,394,840,820
Feature00101,2,0,0,0,1,0,4,5
Feature00102,755,647,527,585,2561,2417,2425,2731
Feature00103,169,155,195,197,585,553,932,931
Feature00104,0,0,0,0,0,0,0,0
Feature00105,613,490,323,317,2106,2373,2222,2384
Feature00106,1,0,1,1,6,4,2,3
Feature00107,323,266,368,356,1050,1043,1713,1614
Feature00108,314,320,242,251,902,1053,831,776
Feature00109,22,16,41,51,50,36,236,124
Feature00110,406,300,273,323,1188,1232,1372,1562
Feature00111,57,41,56,56,196,197,245,267
Feature00112,227,169,103,84,617,676,530,670
Feature00113,776,680,572,598,2542,2591,2598,2808
Feature00114,46,25,42,23,129,137,142,142
Feature00115,329,238,330,371,1224,1228,1889,1862
Feature00116,20,28,28,18,64,69,126,143
Feature00117,48,38,48,41,123,122,229,212
Feature00118,0,0,0,1,0,0,1,1
Feature00119,0,0,0,0,0,0,0,0
Feature00120,0,0,0,0,0,0,0,0
Feature00121,573,432,315,318,1911,1919,1429,1669
Feature00122,174,131,190,207,580,572,804,950
Feature00123,103,75,111,123,346,339,537,556
Feature00124,353,212,368,361,1059,1041,1664,2096
Feature00125,2247,2075,653,638,7415,7962,2942,3819
Feature00126,65,48,50,56,182,223,215,231
Feature00127,12,6,16,20,39,40,45,46
Feature00128,159,152,132,137,542,577,630,685
Feature00129,105,80,55,78,221,306,247,274
Feature00130,0,1,0,0,1,1,2,3
Feature00131,147,125,151,145,564,518,591,717
Feature00132,75,59,145,130,306,201,1153,702
Feature00133,0,0,0,0,0,0,0,0
Feature00134,2,2,1,1,2,3,10,9
Feature00135,289,204,319,285,1143,1015,1574,1404
Feature00136,286,205,330,331,858,836,1190,1076
Feature00137,17,16,17,16,43,61,64,85
Feature00138,2907,2926,2933,3012,7860,7755,11989,10116
Feature00139,25,20,70,59,119,106,332,321
Feature00140,700,560,887,960,2584,2487,4285,4619
Feature00141,72,51,69,72,187,221,317,281
Feature00142,0,0,0,0,0,0,0,0
